TransactionID,Product,Ingredients
1,Kombucha,"Tea, Sugar, Probiotics"
1,Elderberry Syrup,"Elderberry, Honey, Ginger"
1,Protein Bar,"Pea Protein, Dates, Cocoa"
1,Reishi Coffee,"Coffee, Reishi Mushroom"
2,Granola Clusters,"Oats, Nuts, Honey"
2,Turmeric Tea,"Turmeric, Pepper, Ginger"
3,Elderberry Syrup,"Elderberry, Honey, Ginger"
3,Ashwagandha Drops,"Ashwagandha, Alcohol"
3,Magnesium Gummies,"Magnesium, Citrus, Pectin"
3,Protein Bar,"Pea Protein, Dates, Cocoa"
4,Kombucha,"Tea, Sugar, Probiotics"
4,Protein Bar,"Pea Protein, Dates, Cocoa"
5,Reishi Coffee,"Coffee, Reishi Mushroom"
5,Coconut Water,Coconut
5,Chia Seeds,Chia
5,Granola Clusters,"Oats, Nuts, Honey"
6,Turmeric Tea,"Turmeric, Pepper, Ginger"
6,Magnesium Gummies,"Magnesium, Citrus, Pectin"
6,Chia Seeds,Chia
6,Flax Crackers,"Flax, Salt"
7,Reishi Coffee,"Coffee, Reishi Mushroom"
7,Ashwagandha Drops,"Ashwagandha, Alcohol"
8,Maca Root Capsules,Maca
8,Apple Cider Vinegar,"Apple, Fermented"
8,Ashwagandha Drops,"Ashwagandha, Alcohol"
8,Protein Bar,"Pea Protein, Dates, Cocoa"
9,Matcha Powder,Green Tea
9,Elderberry Syrup,"Elderberry, Honey, Ginger"
9,Maca Root Capsules,Maca
9,Magnesium Gummies,"Magnesium, Citrus, Pectin"
9,Ashwagandha Drops,"Ashwagandha, Alcohol"
10,Flax Crackers,"Flax, Salt"
10,Ashwagandha Drops,"Ashwagandha, Alcohol"
10,Elderberry Syrup,"Elderberry, Honey, Ginger"
10,Protein Bar,"Pea Protein, Dates, Cocoa"
11,Vegan Jerky,"Soy, Spices"
11,Apple Cider Vinegar,"Apple, Fermented"
11,Kombucha,"Tea, Sugar, Probiotics"
11,Magnesium Gummies,"Magnesium, Citrus, Pectin"
12,Elderberry Syrup,"Elderberry, Honey, Ginger"
12,Turmeric Tea,"Turmeric, Pepper, Ginger"
12,Vegan Jerky,"Soy, Spices"
13,Ashwagandha Drops,"Ashwagandha, Alcohol"
13,Elderberry Syrup,"Elderberry, Honey, Ginger"
